src	count	type	dst	words
р	559	cyrillic		азербайджанский русский района давар гьигара картабыр евреер хьагур истории рухьара интересный дыгараа?" караъара къурумиша йиркьыр авыр пир зиярат аьрия ягъыр эквийир арабыр проверка кара район эгъеч1ур мык1а1рыш арабад чутбыр авырдиш аарий Горячий рождения къинабыр къыхьыр ишира еврее раз илерий жарим яхыр еврей хакыр гадиер )арака, ары- сечур ывыр йыхыр рухьураа кьирык лючир Наоборот, нрзб гемарых къугъара адыр кывылцардиший хьикьир кьур дуруус хикбыр регулировать решила къаравылди киьрмыд зиярата дыхыр гьабыр йер ейванар завтра капыр эдемийра первый та1бир к1иркьыр айра экулбыр капыракан Харарзада сивигыр къацырдиш вроде къугъура рыкыс армянар йиркыр веришаъас Говорят кар гырче миъбыр кьирак абыр дыхыра лирхьур ыгара "раз" дирина саргьа1тбыр кичирдиш дархас лупхур джёр дулкира джибра илсанар икира рутульский эбыр ыхара сторону? эчур ыг1/гьыр арамиш рурура рикыд хынимер аардиший рази левиркьара йирк1ыр иширхьа дахар сидигыр йичердиш чир левир гьарала лыхьдыбыр сидхьур лойчир гордость хьовгырдиш йидкьыр выъыр [нрзб] верё\\ кьахыра сиптыр сюдулкерий райано кьир силтарий рякь магьа1раба аара лузур Гитлер йишир виилера илера рангадбыр джура рууд ыхырай рахматых седхьура хьибыр руъусы сувкура къирбыр ухур кьир\\ корпус къурамиш хьарамзада рыхъыд еврейский Азербайджан ывырай синбыр сывара; дюлкьера другой силгара пророк график сулкерий кивхир лечур разговаривать Мирзахана Первый икьлитхьур адыра израилед рыхьа сакар эвчур наоборот,] армянад кормит фикыр выхара ящерица къаджир латур хырыда ховкур абыр... ыхыр дыъыр спичкабыр къирмиша кавыыр ыыр кьва1р ра1к1на хура кьымырденувды Мирзахан дахра дыгыр чурдыбыр сукур \\охра\\ спор проиграт эхир ара цакьараг г1аъара рых дуруъура родной ваъара шурук йишира вернуться бизар хьяр Азербайджана рухьад рыш иквиргарий инспекторский кьира къудер армян йывхыр шуркуд йидкыр по-русски шуркумыд ватрухад дуруурий иширдиш ряхат йицыр гикьихьир историе рухара гьар ишир йидкыра йихир аар хьура умер. верёвкой арыш джер мибыр даварxa мара завершается, хьур зарафатбыр евреед мартас иширай ыкьара кьирбыр разные хейийир руъуд гадиера руурий йякьбыр руура йикира далгара (Лера, йидкырдиш равно гедиркьыра Алира атхыр дерехера валыгмар ыыра охранада кьарахьу къырыкь лешур кьирад къари сукура рыхъа Инспектор лелшура решение гьятхыр. гякьыр къор дархасы риǯ шувбыр лиир руъура прямо гьакывгырдиш къыхьырдиш зер вишир къатхыр гьыгара перевал. диъара (Лера:)
ы	464	cyrillic		хыных къунды рыхъыд ывырай синбыр картабыр кьайьды войны сывара; йыкь сигыйне михыдылнов иймыд сы- зы хьуляхды вахтинды кьасды хынимеше дыкыс интересный дыгараа?" ыыд зыха анувды ымы йиркьыр хыдылнова Первый адыра авыр рыхьа хыл ягъыр арабыр был к1аъды хыля богатый были, илды фикыр выхара мык1а1рыш сиг1ыд чутбыр авырдиш ыкысдиш хынхыла гьыкыс хырыда къинабыр ихьды къы1йид абыр... ыхыр йидкыд дыъыр къыхьыр спичкабыр хыле кавыыр ыыр яхыр хакыр кьымырденувды выда дыгыр чурдыбыр къы1не йидкыга вступительные хынхыд оказывается=xʷa г1/гьымыъ ары- ывыр къывытехьо ыха йыхыр рых выха кьирык гьановыс быса полугодавалый кывыти гемарых адыр адыш кывылцардиший хикбыр ыгати къаравылди рыш киьрмыд датхыдя дыхыр гьабыр аймыд йывхыр йидкыр миновыс язык шуркумыд капыр икигасы изды ихьды\\ первый йицыр мукьыд к1иркьыр экулбыр капыракан хьибыд сабайды сыс сивигыр къинады мукьяды къацырдиш шувды йыхьа йидкыра рыкыс спичкаймыкан йиркыр хыдылновыкан гырче г1ыкысе миъбыр абыр зыхьа дыхыра някьакьды называть сывад ыгатий ыгара арыш йицыд мибыр саргьа1тбыр зывас мады кьылыкь выды эбыр ыхара ыг1/гьыр зарафатбыр начальных рикыд хынимер пыч амы сыв- вы йирк1ыр ыкьара кьирбыр разные дыкасы йых дыхыйне сидигыр хьабысаат кывысы джуды йыкьа миновыхда йякьбыр лыхьдыбыр йидкырдиш хыбда гьыкысты оказывается=xa гедиркьыра было, хьовгырдиш атхыр валыгмар ыыра йидкьыр выъыр къырыкь кьахыра сиптыр хукумы якобы к1ыды "пьяный" рыхъа ыыйне оказывается=xa, гьятхыр. гякьыр тинбайды оказывается, обычно заключительные му1к1а1ды вызас дархасы мыхя чтобы шувбыр кипхьыйне Целый гьыкысы- рангадбыр хыдылды хыных- было. илесды ыхырай гьакывгырдиш оказывается рахматых къыхьырдиш гьыгара къатхыр руъусы къирбыр хьибыр ыыджигий мидукьунды выг1ыл
д	421	cyrillic		къунды азербайджанский давар ид эмисад джадалгад хьуляхды "зад дыкыс где-то дыгараа?" ишидя анувды хыдылнова давай к1аъды душман арабад авырдиш ыкысдиш саджигий сюдкьуйне рождения саджиг1ил джу гичьед гадиер обедас вад хынхыд видж джигьил Мухамад даъави дуьзена адыр кидишхьо кывылцардиший аъад дуруус мибишда къаравылди давияла киьрмыд даъвийед дыхыр обед эдемийра зада идёт бадана, эгъидхуйне диший Харарзада сабайды мукьяды къацырдиш вроде эмид улихда гадиес азебайджанский когда къубайде одно айихда къод дыхыра сывад юдж йицыд дирина асад джус кичирдиш мады дархас джёр дулкира джибра выды рикыд аардиший ийден дии маде... дыкасы дахар дыхыйне сидигыр йичердиш джуды здесь)мида дождя. давия джигий гьалда сидхьур лыхьдыбыр ед гордость джу\\ хьовгырдиш "давай" йидкьыр сада года сюдулкерий диий доносит тинбайды диъи, дагул\\ му1к1а1ды му1къуд йиъид рангадбыр джура хыдылды рууд ишид седхьура ад\\ мидукьунды адухун хьарамзада рыхъыд Азербайджан зад кьайьды туда дюлкьера бейда другой михыдылнов иймыд вахтинды кьасды ыыд илийден мид адыра израилед датхас армянад гада спичкаед илды дождь, къаджир сиг1ыд ада хырыда къы1йид ихьды йидкыд дыъыр джига дагул экед вода. кьымырденувды дахра выда дыгыр джи чурдыбыр йидкыга как-будто Последовательно дуруъура кьабаъад родной "до ушийден полугодавалый садахьа адыш зади йиид дяхьа дождь Азербайджана рухьад датхыдя къудер аймыд шуркуд йидкыр ватандид шуркумыд ватрухад дуруурий изды иширдиш ихьды\\ вада мукьыд чулде дишийке хьибыд къинады шувды йидкыра хыдылновыкан саилийден надо някьакьды кьуд диш джер даварxa ад виид адиш хьадиш здесь(?) евреед аде хьуд къадеше буду руъуд гадиера миновыхда далгара гьад ледикьа даъвия йидкырдиш эдеми хыбда гедиркьыра вода дерехера охранада да, кьирад джиг1илед к1ыды отсюда увидев джугьул (йид) дархасы зад\\ мухамад илесды гьакывгырдиш къыхьырдиш удачно дальше] джукан свидания" ыыджигий шивийден диъара сюда
у	344	cyrillic		Рутульский къунды Ну русский хьовкуйне хъуна условно. хьуб хьагур туда другой хьуляхды укул рухьара мукья сулкерий шувне анувды къурумиша лечур икьлитхьур хамкьус минкуьм лупхас эвчур асукьа хьевчуйне душман анув эгъеч1ур ну-с чутбыр улис По-вашему. латур сюдкьуйне ховкур сипхьуйне дагул шешун левшуйне джу (тут хура кьымырденувды чурдыбыр сукур экул вступительные минку1м мукьойит сечур кумаг как-будто рухьураа тинув дуруъура хьу туп Мухамад дуьзена ушийден шурук полугодавалый вернуться къугъара му1к1а1 кьур дуруус регулировать рухьад кьу- укъ кьуне къудер шуркуд корпус по-русски ватрухад шуркумыд ну дуруурий эгъидхуйне мукьыд ус чулде экулбыр укьуйне рухара минув у мукьяды мукьу шувды ученик) къугъура улихда ула кепейухьли къубайде умер. хьура буква лирхьур кьуд гекьечуйне хьув "уже" уш джус лупхур ну, дулкира къухе хьур участник рутульский укьля рурура сторону? эчур шу шув хьуд эминув мукьа буду руъуд руурий джуды руура сидхьур улей, джу\\ ухьул му1къа кьарахьу лешур сюдулкерий хукумы йуьше сукура лелшура лузур увидев дагул\\ джугьул му1к1а1ды му1къуд шувбыр овкьу джура мухамад уже рууд руъура вашув\\ г1акуйне седхьура удачно руъусы сувкура хьуйне ухур джукан мидукьунды адухун къурамиш
ь	325	cyrillic		Рутульский хьовкуйне гьигара хьуб кьайьды хьагур дюлкьера dülьqʼera хьели тьатьал йыкь кьа1баъ хьуляхды кьасды "пьяна" йигьа йьий рухьара мукья йиркьыр разговаривать икьлитхьур хамкьус минкуьм рыхьа аьрия асукьа хьевчуйне дождь, ишийехьа selьsewet вязать Гьawɨr=xa кихьа гьыкыс сюдкьуйне сипхьуйне ихьды къыхьыр кьа1ба, кьаба кьва1р хьо гичьед кьымырденувды хакь\\ сакьал вступительные мукьойит г1/гьымыъ кьохье tiь, цакьараг къывытехьо гьая хьай джигьил рухьураа Последовательно кьирык хьу гьановыс normalьno кьабаъад дуьзена вернуться садахьа кидишхьо хьикьир кьур хьяр kilьxerij дяхьа регулировать дождь рухьад только киьрмыд кьу- кьира кьуне гьабыр письменность, wozwraщatь tiь чейлахьа ихьды\\ мукьыд к1иркьыр гикьихьир гьаса гьаъас миъгякь кьа1ба хоть хьибыд укьуйне гьар мукьяды мукьу хьа йыхьа хьил кепейухьли кьирак хьура зыхьа яхьмиш някьакьды лирхьур называть кьуд хьув гекьечуйне гьая... ganʲatь саргьа1тбыр гьякъама кьылыкь хьур гякьама рутульский здесь(?) ыг1/гьыр укьля большое! хьадиш начальных кь\\ иширхьа гьа левиркьара ыкьара кьирбыр Польше хьуд гьайе мукьа специально хьабысаат йыкьа здесь)мида йякьбыр гьад гьэми ледикьа гьалда гьарала лыхьдыбыр ehelьč'ur гьыкысты сидхьур гедиркьыра гордость Гьɨmɨʔ=xa miь хьовгырдиш начать? xьibɨd ухьул йидкьыр кьарахьу къырыкь кьахыра кьирад сеньъ кьир "пьяный" йуьше рякь магьа1раба гьятхыр. гякьыр tiь. джугьул заключительные большой кипхьыйне гьыкысы- овкьу гьакывгырдиш седхьура къыхьырдиш гьыгара дальше] хьибыр гьай хьуйне Oktjabrь кьир\\ мидукьунды zaweršatь хьарамзада
е	310	cyrillic		азербайджанский еврейский хьовкуйне Азербайджан евреер Давайте. дюлкьера бейда хьели сигыйне хынимеше сулкерий где-то интересный шувне нет илийден биийне лечур Первый израилед иле проверка хьевчуйне не эгъеч1ур спичкаед ящерица вике ишийехьа По-вашему. ешемиш сюдкьуйне рождения сипхьуйне еврее симбише илерий хыле еврей шешун левшуйне гичьед экед кьымырденувды гадиер къы1не обедас вступительные оказывается=xʷa кьохье сечур къывытехьо Последовательно илена дуьзена ушийден вернуться гемарых чего фактически] регулировать сенна решила Азербайджана даъвийед инспекторский кьуне къудер обед йер ейванар письменность, (телебе мибише ихтилет эдемийра пенсионат чейлахьа сен первый вмешиваю, эгъидхуйне чулде селф\\ дишийке чел отец укьуйне историе еле-еле вроде ученик) гадиес веришаъас азебайджанский саилийден кепейухьли гырче къубайде г1ыкысе умер. селение верёвкой гекьечуйне ещё текана "уже" джер завершается, солнце къухе веш ве здесь(?) немой большое! евреед момент хынимер тине ийден сиене левиркьара аде маде... разные Польше хейийир гьайе къадеше дыхыйне специально гадиера йичердиш вишийне здесь)мида левир ледикьа абише (Лера, эдеми улей, ед оказывается=xa гедиркьыра дерехера мелкашка лешур верё\\ тоже сюдулкерий джиг1илед сеньъ мека йуьше ейван ыыйне внимание.] оказывается=xa, Инспектор лелшура решение оказывается, увидев Гитлер вес заключительные виилера илера кипхьыйне Целый уже илесды г1акуйне оказывается седхьура зер дальше] хьуйне ейвана перевал. шивийден cезона (Лера:)
х	303	cyrillic		хыных рыхъыд хьовкуйне хъуна хотя хьуб хьагур хьели михыдылнов хынимеше вахтинды хьуляхды рухьара зыха кивхир Мирзахана хыдылнова хамкьус икьлитхьур лупхас рыхьа хыл датхас хьевчуйне хыля ханиий выхара аспахин ишийехьа хынхыла кихьа хырыда ховкур ихьды сипхьуйне ыхыр къыхьыр хыле яхыр хьо хакыр хура Мирзахан ха дахра хакь\\ \\охра\\ ха\ хынхыд эхир кьохье къывытехьо ыха хьай йыхыр рухьураа рых выха хьу Мухамад гемарых садахьа кидишхьо хьикьир хьяр хикбыр дяхьа рухьад датхыдя хай хани дыхыр хватит, йывхыр ватрухад ихтилет чейлахьа ихьды\\ ряхат эгъидхуйне гикьихьир хоть хьибыд рухара хьа йыхьа йихир улихда хыдылновыкан хьил кепейухьли хьура яхьмиш зыхьа айихда дыхыра лирхьур хьув хана цихил лупхур дархас мийих\\ къухе хьур хьадиш ыхара хала начальных хынимер hadхa яхмиш иширхьа хейийир хьуд йых дахар дыхыйне хьабысаат миновыхда вахт лыхьдыбыр сидхьур хыбда хьовгырдиш дерехера атхыр охранада ухьул кьарахьу кьахыра хукумы рыхъа гьятхыр. дархасы мыхя кипхьыйне йихи\\ хыдылды хыных- мухамад ыхырай рахматых седхьура къыхьырдиш къатхыр хьибыр хьуйне ухур хватит адухун хьарамзада
к	291	cyrillic		Рутульский къунды азербайджанский еврейский русский хьовкуйне картабыр кьайьды ки дюлкьера йыкь кьа1баъ кьасды укул пророк дыкыс къат график сулкерий мукья как караъара кивхир къурумиша йиркьыр ки\\ икьлитхьур хамкьус минкуьм гякъама сакар асукьа эквийир кал проверка кара к1аъды кормит спичкаед фикыр мык1а1рыш къаджир вике ыкысдиш кихьа гьыкыс сюдкьуйне къы1йид къинабыр ховкур йидкыд къыхьыр спичкабыр кьа1ба, къирмиша кьаба кьва1р кавыыр хакыр ра1к1на экед кьымырденувды хакь\\ сакьал къы1не экул сукур йидкыга минку1м мукьойит оказывается=xʷa )арака, кьохье цакьараг кумаг къывытехьо как-будто сказка кьирык такой, кьабаъад шурук кывыти класса къугъара му1к1а1 кидишхьо кывылцардиший хьикьир кьур къина фактически] хикбыр къаравылди только киьрмыд кьу- иквиргарий инспекторский кьира укъ кьуне къудер шуркуд йидкыр корпус жизникан по-русски компания. шуркумыд язык икигасы капыр мукьыд к1иркьыр гикьихьир дишийке миъгякь славянский кьа1ба экулбыр капыракан укьуйне къинады мукьяды мукьу кого къацырдиш ученик) кии къугъура йидкыра рыкыс спичкаймыкан йиркыр азебайджанский хыдылновыкан когда кар кепейухьли къубайде г1ыкысе кьирак канал къод верёвкой някьакьды буква кьуд гекьечуйне текана къоб кичирдиш гьякъама кьылыкь дулкира къухе участник икира гякьама рутульский укьля рикыд ошибка кь\\ левиркьара йирк1ыр ыкьара кьирбыр дыкасы мукьа къадеше кывысы йыкьа йякьбыр йикира ледикьа йидкырдиш гьыкысты оказывается=xa гедиркьыра мелкашка му1къа йидкьыр кьарахьу къырыкь кьахыра кьирад сюдулкерий хукумы кьир мека якобы к1ыды къари рякь сукура оказывается=xa, Инспектор гякьыр оказывается, къор заключительные му1к1а1ды такой му1къуд кипхьыйне гьыкысы- овкьу спокойно г1акуйне оказывается гьакывгырдиш къыхьырдиш къатхыр сувкура къирбыр джукан кьир\\ мидукьунды къурамиш
н	270	cyrillic		хыных къунды азербайджанский хьовкуйне района хъуна знаю Азербайджан условно. синбыр войны сигыйне михыдылнов хынимеше вахтинды "пьяна" минов интересный шувне нет анувды илийден биийне Мирзахана хыдылнова минкуьм наоборот,] хьевчуйне душман армянад анув район не ханиий аспахин ну-с хынхыла вон сюдкьуйне рождения къинабыр сипхьуйне минова шешун левшуйне ра1к1на кьымырденувды Мирзахан ани къы1не вступительные минку1м хынхыд аниий значит] Последовательно илена тинув гьановыс сиин родной дуьзена ушийден вернуться наливали нрзб саънабай Рамазан къина сенна Азербайджана тина хани инспекторский начала Значит] кьуне нийиъи армян ейванар письменность, жизникан миновыс ватандид компания. ну пенсионат сен бадана, эгъидхуйне славянский капыракан укьуйне минув къинады син ученик) спичкаймыкан армянар азебайджанский хыдылновыкан саилийден на одно значит], канал селение надо някьакьды нам фитна называть гекьечуйне текана хана дирина ватан ну, солнце илсанар участник сторону? немой момент начальных хынимер тине тиня ийден сиене разные эминув анийии дыхыйне но ман специально наливали. вишийне миновыхда анi равно начать? охранада [нрзб] начнём сеньъ райано он] доносит "пьяный" ейван ыыйне внимание.] тинбайды Инспектор ватан, решение обычно заключительные кипхьыйне рангадбыр хыных- спокойно г1акуйне удачно хьуйне ейвана свидания" джукан мидукьунды шивийден cезона адухун
в	242	cyrillic		еврейский хьовкуйне давар условно. ывырай евреер Давайте. войны сывара; михыдылнов вахтинды маваай минов шувне ваъ анувды кивхир разговаривать хыдылнова Первый авыр давай эвчур эквийир ваз проверка хьевчуйне анув выхара вике авырдиш По-вашему. вязать вон шив ховкур минова вот, еврее кавыыр кьва1р еврей левшуйне вода. кьымырденувды выда виъи вступительные вад оказывается=xʷa ывыр къывытехьо видж Последовательно тинув выха гьановыс даъави ваъара полугодавалый вернуться кывыти наливали кывылцардиший (в регулировать къаравылди давияла даъвийед иквиргарий хватит, шиви йывхыр ейванар завтра миновыс ватандид ватрухад слова) вада первый вмешиваю, вии славянский виий минув сивигыр вроде шувды виший Хватит? веришаъас Говорят хыдылновыкан верёвкой буква называть сывад хьув ватан даварxa зывас всё завершается, виид веш выды ве евреед ва вы сыв- левиркьара шув эминув наливали. вишийне миновыхда вот вот] кывысы левир давия вахт даъвия оказывается=xa равно вода хьовгырдиш "давай" валыгмар выъыр верё\\ ейван внимание.] оказывается=xa, ватан, яваш оказывается, увидев вес виилера вызас Давай шувбыр овкьу вашув\\ гьакывгырдиш оказывается вишир сувкура ейвана свидания" перевал. шивийден хватит ваас выг1ыл
с	241	cyrillic		Рутульский азербайджанский еврейский русский условно. синбыр миса эмисад сывара; сабай сигыйне силгара сы- кьасды истории дыкыс зас сулкерий интересный хамкьус лупхас сакар асукьа датхас спичкаед аспахин ну-с сиг1ыд ыкысдиш улис саджигий са гьыкыс сюдкьуйне сипхьуйне саъга спичкабыр симбише спасибо тиса саджиг1ил сакьал сукур обедас спор вступительные оказывается=xʷa сечур Последовательно аса сказка гьановыс сиин быса вернуться класса садахьа саънабай фактически] дуруус сенна инспекторский письменность, спасат миновыс по-русски пенсионат икигасы сен слова) селф\\ ус гьаса гьаъас славянский историе сабайды сыс сивигыр син рыкыс спичкаймыкан гадиес веришаъас азебайджанский саилийден сала г1ыкысе аасий селение сывад асад саргьа1тбыр джус зывас дархас всё завершается, солнце илсанар участник рутульский здесь(?) сторону? сюда мартас сыв- сиене аас дыкасы с сидигыр специально хьабысаат кывысы здесь)мида сидхьур гьыкысты оказывается=xa бас гордость сада сиптыр сюдулкерий сеньъ доносит сукура силтарий оказывается=xa, отсюда Инспектор оказывается, вес дархасы вызас гьыкысы- илесды спокойно оказывается седхьура руъусы сувкура свидания" (са) ваас корпус
й	233	cyrillic		Рутульский азербайджанский еврейский русский хьовкуйне района ай Азербайджан ийи ывырай кьайьды Давайте. войны сабай бейда другой йыкь сигыйне иймыд маваай йигьа йьий сулкерий интересный илийден биийне йиркьыр Первый давай аатий эквийир хьевчуйне богатый район ханиий ишийехьа саджигий аарий Горячий сюдкьуйне къы1йид сипхьуйне йидкыд йии илерий еврей левшуйне йидкыга мукьойит аниий хьай йыхыр такой, родной йишира ушийден полугодавалый саънабай кывылцардиший йиид Азербайджана мий даъвийед хай иквиргарий инспекторский нийиъи аймыд йер йывхыр ейванар йидкыр эдемийра дуруурий чейлахьа первый йицыр эгъидхуйне дишийке славянский айра виий диший укьуйне сабайды йыхьа виший йидкыра йихир спичкаймыкан йиркыр азебайджанский саилийден кепейухьли къубайде аасий айихда верёвкой гекьечуйне ыгатий йицыд йиъи рутульский немой аардиший иширай г1ай ийден йирк1ыр хейийир гьайе йых анийии дыхыйне йичердиш руурий йыкьа вишийне йякьбыр йикира ий джигий йидкырдиш улей, лойчир "давай" йидкьыр сюдулкерий диий райано "пьяный" йуьше ейван силтарий ыыйне тинбайды йишир (йид) большой такой Давай кипхьыйне Целый йиъид йихи\\ ыхырай спокойно г1акуйне гьай ейвана хьуйне ыыджигий шивийден (йиъи) мийих\\
о	201	cyrillic		хьовкуйне района хотя мол\\ условно. Вот войны другой михыдылнов истории пророк это это] где-то минов разговаривать хыдылнова потом проверка наоборот,] богатый район кормит дождь, По-вашему. вон Горячий selо рождения ховкур минова вот, спасибо хьо вода. проиграт \\охра\\ обедас спор мукьойит оказывается=xʷa кьохье къывытехьо как-будто Последовательно гьановыс такой, родной "до Наоборот, полугодавалый чего кидишхьо регулировать дождь только инспекторский обед что] письменность, по-русски миновыс компания. пенсионат слова) чтоб этого что отец хоть историе вроде кого положила Говорят хыдылновыкан когда одно къод надо верёвкой къоб солнце сторону? немой большое! момент ошибка Это Польше но специально миновыхда вот вот] дождя. пол- этом лойчир оказывается=xa равно гордость было, вода хьовгырдиш охранада тоже года райано он] якобы доносит оказывается=xa, отсюда Инспектор оказывается, обычно къор большой такой чтобы было. овкьу спокойно прямо оказывается удачно cезона этот корпус
м	188	cyrillic		вмешиваю, мукьыд миъгякь миса мол\\ эмисад минув мукьяды мукьу мит эмид михыдылнов иймыд хынимеше спичкаймыкан армянар маваай минов мукья миъбыр яхьмиш умер. къурумиша ымы м мид нам хамкьус минкуьм гякъама потом там мибыр армянад мара душман мады кормит гьякъама мийих\\ мык1а1рыш маъ гякьама мя\\ немой арамиш По-вашему. ешемиш момент хынимер мартас яхмиш амы минова маде... симбише къирмиша эминув эми мукьа жарим ман кьымырденувды миновыхда здесь)мида гьэми минку1м этом мукьойит эдеми г1/гьымыъ мия кумаг мелкашка валыгмар му1къа тамаш начнём им (миъ Мухамад хукумы мека гемарых му1к1а1 внимание.] Рамазан магьа1раба ми мибишда му1к1а1ды киьрмыд му1къуд мий мыхя мухамад армян прямо аймыд миз рахматых письменность, шуркумыд мидукьунды мибише миновыс компания. эдемийра къурамиш хьарамзада
л	182	cyrillic		Рутульский чулде селф\\ условно. мол\\ чел экулбыр славянский джадалгад дюлкьера еле-еле хьели тьатьал михыдылнов или] силгара хьуляхды улихда укул ула положила хыдылновыкан сулкерий саилийден кепейухьли хьил сала илийден канал лечур селение хыдылнова икьлитхьур лирхьур израилед лупхас хыл кал иле цихил был хыля лупхур солнце кьылыкь были, илды дулкира илсанар рутульский укьля хала улис большое! хынхыла начальных дагул\\ латур лап левиркьара Польше дагул илерий хыле левшуйне саджиг1ил специально наливали. сакьал далгара экул левир ледикьа пол- вступительные гьалда гьарала лыхьдыбыр улей, лойчир было, Алира мелкашка валыгмар джигьил ухьул илена лешур Последовательно лючир сюдулкерий джиг1илед полугодавалый наливали класса силтарий кывылцардиший лелшура тили лузур или Гитлер регулировать решила джугьул давияла только большой илера заключительные къаравылди было. виилера Целый хыдылды начала лиир илесды дальше] лаъ (телебе перевал. ихтилет чейлахьа выг1ыл слова)
т	179	cyrillic		Рутульский хотя картабыр Вот Давайте. туда мит тьатьал ти вахтинды истории къат это это] где-то интересный нет разговаривать икьлитхьур потом аатий зиярат там датхас наоборот,] богатый кормит чутбыр вязать типа, латур вот, тиса (тут проиграт вступительные мукьойит оказывается=xʷa значит] къывытехьо как-будто Последовательно тинув туп такой, Наоборот, вернуться кывыти фактически] тили регулировать ыгати игит( тина только датхыдя зиярата инспекторский Значит] хватит, что] письменность, (телебе завтра спасат ватандид ихтилет ватрухад пенсионат ряхат идёт чтоб та1бир этого что отец хоть историе Хватит? Говорят значит], фитна называть ыгатий текана ватан саргьа1тбыр завершается, участник рутульский зарафатбыр сторону? момент тине тиня мартас Это хьабысаат вот] вот вахт этом гьыкысты оказывается=xa гордость атхыр начать? тамаш тоже сиптыр доносит силтарий оказывается=xa, отсюда Инспектор ватан, гьятхыр. оказывается, тинбайды Гитлер заключительные чтобы такой рахматых оказывается къатхыр хватит этот
г	152	cyrillic		эгъидхуйне этого гьигара гьаса гьаъас гикьихьир миъгякь хьагур джадалгад г1а сивигыр гьар другой сигыйне кого силгара къугъура гадиес йигьа график когда где-то дыгараа?" г1ыкысе гырче ига разговаривать гекьечуйне ыгатий гякъама гьая... ягъыр ыгара саргьа1тбыр богатый гада эгъеч1ур гьякъама сиг1ыд гякьама ыг1/гьыр саджигий гьыкыс г1ай саъга гьа джига дагул гьайе сидигыр саджиг1ил гичьед гадиера дыгыр далгара гьад йидкыга гьэми проиграт гадиер джигий гьалда гьарала г1/гьымыъ гьыкысты гедиркьыра гордость цакьараг кумаг хьовгырдиш г1аъара гьая валыгмар джигьил гьановыс года джиг1илед полугодавалый гемарых къугъара чего магьа1раба гьятхыр. гякьыр регулировать ыгати игит( джугьул дагул\\ гьыкысы- рангадбыр иквиргарий гьабыр г1акуйне гьакывгырдиш гьыгара гьай ыыджигий выг1ыл икигасы
ш	139	cyrillic		вмешиваю, дишийке диший къацырдиш шувды хынимеше ишир виший веришаъас шувне ишидя яхьмиш къурумиша арыш диш уш душман кичирдиш завершается, адиш мык1а1рыш веш авырдиш ишийехьа хьадиш ыкысдиш большое! арамиш По-вашему. ешемиш шив ошибка аардиший яхмиш шу иширай иширхьа шув Польше симбише ишира къирмиша къадеше шешун левшуйне йичердиш вишийне абише йидкырдиш хьовгырдиш мелкашка тамаш лешур йишира шурук ушийден адыш йуьше кидишхьо кывылцардиший лелшура решение яваш мибишда йишир решила большой рыш шувбыр ишид вашув\\ гьакывгырдиш шиви къыхьырдиш вишир дальше] шуркуд шивийден мибише шуркумыд къурамиш иширдиш
з	117	cyrillic		азербайджанский знаю Мирзахан Азербайджан здесь)мида зад Харарзада оказывается=xʷa оказывается=xa зы значит] "зад азебайджанский [нрзб] зас сказка зыха значит], зыхьа дуьзена разговаривать Мирзахана нрзб называть хьарамзада зиярат израилед бизар Рамазан оказывается=xa, ваз зади "раз" лузур оказывается, зывас завершается, заключительные Азербайджана вызас за зад\\ зиярата зарафатбыр здесь(?) вязать оказывается миз зер завтра рази cезона жизникан язык разные раз изды зада
я	103	cyrillic		яхыр ряхат миъгякь аьрия хотя славянский йякьбыр дождя. давия мукьяды даъвия оказывается=xʷa оказывается=xa хьуляхды мия армянар гьая "пьяна" аая Говорят мукья ишидя яхьмиш вернуться някьакьды якобы "пьяный" зиярат гякъама гьая... ягъыр оказывается=xa, рякь гьятхыр. гякьыр яваш оказывается, хьяр дяхьа армянад завершается, язык хыля гьякъама давияла мыхя ящерица датхыдя зиярата гякьама укьля ая мя\\ вязать армян оказывается прямо я Горячий тиня рождения яхмиш свидания" компания.
б	101	cyrillic		азербайджанский бадана, чтоб та1бир Азербайджан синбыр кьа1ба экулбыр хьуб картабыр хьибыд сабайды сабай бейда кьа1баъ азебайджанский къубайде миъбыр абыр биийне буква арабыр был наоборот,] мибыр къоб саргьа1тбыр богатый были, джибра арабад зарафатбыр эбыр чутбыр большое! ошибка къинабыр абыр... спичкабыр кьа1ба, кьирбыр симбише кьаба спасибо буду хьабысаат йякьбыр чурдыбыр обедас абише лыхьдыбыр хыбда бас было, как-будто [нрзб] кьабаъад Наоборот, быса нрзб якобы бизар саънабай магьа1раба тинбайды хикбыр обычно мибишда Азербайджана большой чтобы шувбыр было. рангадбыр гьабыр обед хьибыр къирбыр (телебе мибише
ъ	98	cyrillic		къунды рыхъыд эгъидхуйне аъ хъуна миъгякь гьаъас къинады къацырдиш кьа1баъ къугъура веришаъас къат къубайде караъара миъбыр ваъ къурумиша къод гякъама ягъыр йиъи к1аъды къоб эгъеч1ур гьякъама къухе къаджир маъ къы1йид къинабыр дыъыр къыхьыр саъга къирмиша къадеше руъуд къы1не виъи даъвия г1/гьымыъ г1аъара къывытехьо му1къа выъыр къырыкь дуруъура (миъ кьабаъад даъави сеньъ ваъара къугъара къари саънабай рыхъа аъад къина диъи, къаравылди къор му1къуд даъвийед йиъид укъ руъура нийиъи къудер къыхьырдиш къатхыр лаъ къирбыр руъусы (йиъи) диъара къурамиш
